Time (s);Latitude (°);Longitude (°);Height (m);Horizontal Accuracy (m)
185;53.46968625;9.724020435;5.467906952;8.001208274
186;53.46967948;9.724035057;5.467906952;8.001208274
187;53.46966497;9.724049855;5.467906952;8.001208274
188;53.46965184;9.72407733;5.467906952;8.001208274
189;53.46963775;9.724153301;5.467906952;8.001208274
190;53.46962245;9.724178003;5.467906952;8.001208274
191;53.46960496;9.724199584;5.467906952;8.001208274
192;53.46958314;9.724217513;5.467906952;8.001208274
193;53.46957913;9.724238219;5.467906952;8.001208274
194;53.46956703;9.724253687;5.467906952;8.001208274
195;53.46955137;9.724270249;5.467906952;8.001208274
196;53.46953111;9.724286194;5.467906952;8.001208274
197;53.46950847;9.724307474;5.467906952;8.001208274
198;53.46948511;9.724329868;5.467906952;8.001208274
199;53.46946566;9.724359848;5.467906952;8.001208274
200;53.46945348;9.724386361;5.467906952;8.001208274
201;53.46944505;9.724404242;5.467906952;8.001208274
202;53.46942921;9.724417533;5.467906952;8.001208274
203;53.4694104;9.724432083;5.467906952;8.001208274
204;53.46939313;9.724449248;5.467906952;8.001208274
205;53.46937923;9.724466232;5.467906952;8.001208274
206;53.46936542;9.724473249;5.467906952;8.001208274
207;53.46935269;9.724491612;5.467906952;8.001208274
208;53.46933729;9.724512562;5.467906952;8.001208274
209;53.46932178;9.724530593;5.467906952;8.001208274
210;53.46931028;9.724545361;5.467906952;8.001208274
211;53.46929883;9.724567296;5.467906952;8.001208274
212;53.46928035;9.724582241;5.467906952;8.001208274
213;53.46927084;9.724597543;5.467906952;8.001208274
214;53.46925821;9.724617275;5.467906952;8.001208274
215;53.46924758;9.724632406;5.467906952;8.001208274
216;53.46923393;9.724655482;5.467906952;8.001208274
217;53.46922414;9.724685319;5.467906952;8.001208274
218;53.46922005;9.724714386;5.467906952;8.001208274
219;53.46921659;9.724747209;5.467906952;8.001208274
220;53.46920985;9.724764138;5.467906952;8.001208274
221;53.46920125;9.72477993;5.466475296;8.001208274
222;53.46919272;9.724795097;5.454738121;8.001208274
223;53.46919099;9.724803414;5.439034985;8.001208274
224;53.46918121;9.7248104;5.432919078;8.001208274
225;53.46917144;9.724822562;5.414279609;8.001208274
226;53.46916866;9.72483415;5.390405241;8.001208274
227;53.46919168;9.724884852;5.377230603;8.001208274
228;53.46919043;9.72489604;5.409387108;8.001208274
229;53.46918024;9.724909809;5.40671134;8.001208274
230;53.46916984;9.724922981;5.374222922;8.001208274
231;53.4691651;9.724958344;5.335144918;8.001208274
232;53.46915535;9.724970324;5.2679799;8.001208274
233;53.46915212;9.72499531;5.200220613;8.001208274
234;53.46914126;9.725006009;5.120189908;6.000906205
235;53.46913923;9.725009871;5.057498956;6.000906205
236;53.46912928;9.725013508;5.036841204;6.000906205
237;53.4691242;9.725036871;5.001823311;6.000906205
238;53.46911874;9.72505942;4.933927906;6.000906205
239;53.46911403;9.725074131;4.866576232;6.000906205
240;53.46909576;9.725099783;4.819888595;6.000906205
241;53.4690908;9.725124681;4.735071135;6.000906205
242;53.46907477;9.725132223;4.673769183;6.000906205
243;53.46906463;9.725144022;4.6369631;6.000906205
244;53.46905195;9.725162588;4.604573843;6.000906205
245;53.46903413;9.725191774;4.564074099;6.000906205
246;53.469012;9.725217504;4.513318497;6.000906205
247;53.46898944;9.725238161;4.476777406;6.000906205
248;53.46896323;9.72526291;4.520433173;6.000906205
249;53.4689483;9.725274792;4.604988645;6.000906205
250;53.46893299;9.725288126;4.651940973;6.000906205
251;53.46891736;9.725292103;4.699836508;6.000906205
252;53.46889998;9.725309711;4.717510964;6.000906205
253;53.4688839;9.725320671;4.776328352;6.000906205
254;53.46886407;9.725327386;4.817719963;6.000906205
255;53.46885105;9.725335227;4.84361892;6.000906205
256;53.46883435;9.725344756;4.871611266;6.000906205
257;53.46881776;9.725357785;4.905285516;6.000906205
258;53.46879897;9.725375092;4.950867907;6.000906205
259;53.46878575;9.725383531;5.011497618;6.000906205
260;53.46876825;9.725394181;5.044906247;6.000906205
261;53.46875088;9.725406291;5.08275448;6.000906205
262;53.46873865;9.725415713;5.125770794;8.001208274
263;53.46872907;9.725426543;5.160600685;8.001208274
264;53.46871694;9.72544002;5.199174692;8.001208274
265;53.46870377;9.725459181;5.246695881;8.001208274
266;53.46869365;9.725477846;5.313531054;8.001208274
267;53.46868369;9.725496385;5.380690874;8.001208274
268;53.46867548;9.725502923;5.447471172;8.001208274
269;53.4686653;9.72552488;5.465863374;8.001208274
270;53.46866511;9.725538707;5.467702594;6.000906205
271;53.46866496;9.725540681;5.467886516;6.000906205
272;53.46865684;9.725545063;5.467904908;6.000906205
273;53.46864981;9.725546387;5.467906748;6.000906205
274;53.46864285;9.725542141;5.467906931;6.000906205
275;53.46862626;9.725542794;5.46790695;6.000906205
276;53.46862064;9.725564667;5.467906952;6.000906205
277;53.46862048;9.725588368;5.467906952;6.000906205
278;53.46862525;9.72560915;5.467906952;8.001208274
279;53.4686293;9.725627746;5.467906952;8.001208274
280;53.46862888;9.725628354;5.467906952;8.001208274
281;53.46862927;9.72563031;5.467906952;8.001208274
282;53.46862926;9.72562989;5.467906952;8.001208274
283;53.46862933;9.725629117;5.467906952;8.001208274
284;53.46862979;9.72562854;5.467906952;8.001208274
285;53.46863146;9.725625232;5.467906952;8.001208274
286;53.46863062;9.725623473;5.467906952;8.001208274
287;53.46862681;9.725626025;5.467906952;8.001208274
288;53.46861422;9.725629458;5.467906952;8.001208274
289;53.46861192;9.725622108;5.467906952;8.001208274
290;53.46861155;9.725623606;5.467906952;8.001208274
291;53.46861087;9.725622591;5.467906952;8.001208274
292;53.46861083;9.725622492;5.467906952;8.001208274
293;53.46861068;9.725622382;5.467906952;8.001208274
294;53.46860934;9.725622339;5.467906952;8.001208274
295;53.46860902;9.725621924;5.467906952;8.001208274
296;53.468608;9.725622981;5.467906952;8.001208274
297;53.46860739;9.725621411;5.467906952;8.001208274
298;53.46860737;9.725621139;5.467906952;8.001208274
299;53.4686074;9.725620185;5.467906952;8.001208274
300;53.46860721;9.725619866;5.467906952;8.001208274
301;53.46860717;9.725619259;5.467906952;8.001208274
302;53.46860643;9.7256184;5.467906952;8.001208274
303;53.46860543;9.725617771;5.467906952;8.001208274
304;53.46860489;9.725617006;5.467906952;8.001208274
305;53.46860476;9.725616723;5.467906952;8.001208274
306;53.46860436;9.72561648;5.467906952;8.001208274
307;53.46860438;9.725616326;5.467906952;8.001208274
308;53.46860445;9.725615924;5.467906952;8.001208274
309;53.46860439;9.725615612;5.467906952;8.001208274
310;53.46860499;9.725614382;5.467906952;8.001208274
311;53.46860515;9.725613717;5.467906952;8.001208274
312;53.46860518;9.725613644;5.467906952;8.001208274
313;53.46860628;9.725612677;5.467906952;8.001208274
314;53.46860558;9.725614826;5.467906952;8.001208274
315;53.46860253;9.725631435;5.467906952;8.001208274
316;53.46860209;9.725631529;5.467906952;8.001208274
317;53.46860096;9.725634209;5.467906952;8.001208274
318;53.4686006;9.725634533;5.467906952;8.001208274
319;53.46860031;9.725635691;5.467906952;8.001208274
320;53.46859942;9.725637724;5.467906952;8.001208274
321;53.4685988;9.72563873;5.467906952;8.001208274
322;53.46859787;9.725639298;5.467906952;8.001208274
323;53.46859659;9.725638919;5.467906952;8.001208274
324;53.46859506;9.725638251;5.467906952;8.001208274
325;53.46859435;9.725637815;5.467906952;8.001208274
326;53.46859416;9.725637551;5.467906952;8.001208274
327;53.46859402;9.725637329;5.467906952;8.001208274
328;53.46859383;9.725636876;5.467906952;8.001208274
329;53.46859346;9.725636646;5.467906952;8.001208274
330;53.46859336;9.725636523;5.467906952;8.001208274
331;53.4685933;9.725636417;5.467906952;8.001208274
332;53.46859324;9.725636214;5.467906952;8.001208274
333;53.46859332;9.725639695;5.467906952;8.001208274
334;53.46859348;9.725642116;5.467906952;8.001208274
335;53.46859352;9.725642524;5.467906952;8.001208274
336;53.46859384;9.725643496;5.467906952;8.001208274
337;53.46859409;9.725644726;5.467906952;8.001208274
338;53.46859428;9.725645361;5.467906952;8.001208274
339;53.46859431;9.725647072;5.467906952;8.001208274
340;53.46859434;9.725649405;5.467906952;8.001208274
341;53.46859435;9.725650564;5.467906952;8.001208274
342;53.46859435;9.725650564;5.467906952;8.001208274
343;53.46859435;9.725650564;5.467906952;8.001208274
344;53.46859435;9.725650564;5.467906952;8.001208274
345;53.46859435;9.725650564;5.467906952;8.001208274
346;53.46859435;9.725650564;5.467906952;8.001208274
347;53.46859435;9.725650564;5.467906952;8.001208274
348;53.46859435;9.725650564;5.467906952;8.001208274
349;53.46859435;9.725650564;5.467906952;8.001208274
350;53.46859435;9.725650564;5.467906952;8.001208274
